x,y,z,intensity,gps_time,label,global_id
746058.70447998,2574344.84001099,452.10763550,6425,4502.79248047,30,708010003
746058.69550781,2574345.09840332,451.81704712,2056,4502.79248047,30,708010003
746058.61219482,2574344.56608520,451.73983765,8481,4502.79248047,30,708010003
746058.59882813,2574344.57060181,451.64645386,21074,4502.79248047,30,708010003
746058.57368164,2574344.58671509,451.46356201,25700,4502.79296875,30,708010003
746058.56141357,2574344.59440552,451.37435913,16962,4502.79296875,30,708010003
746058.54420166,2574344.56788574,451.28213501,19018,4502.79296875,30,708010003
746058.52631836,2574344.53520142,451.19046021,19018,4502.79296875,30,708010003
746058.51618652,2574344.56349121,451.09545898,14649,4502.79296875,30,708010003
746058.59962158,2574345.48139893,452.19613647,2056,4502.88818359,30,708010003
746058.49427490,2574344.89869629,452.12274170,8738,4502.88818359,30,708010003
746058.41480713,2574344.78590332,451.95553589,1028,4502.88867188,30,708010003
746058.37922363,2574344.76780640,451.86926270,2056,4502.88867188,30,708010003
746058.34809570,2574344.78709351,451.78173828,3084,4502.88867188,30,708010003
746058.31220703,2574344.76640259,451.69564819,4369,4502.88867188,30,708010003
746058.27601318,2574344.72740112,451.61456299,4369,4502.88867188,30,708010003
746058.23902588,2574344.69410645,451.52914429,7453,4502.88867188,30,708010003
746058.21381836,2574344.74790894,451.44433594,4369,4502.88867188,30,708010003
746058.18348389,2574344.77351318,451.35626221,4369,4502.88867188,30,708010003
746058.16279297,2574344.88218628,451.26376343,4369,4502.88867188,30,708010003
746058.15162354,2574345.07990967,451.16564941,1028,4502.88867188,30,708010003
746058.17371826,2574345.58491455,451.04864502,1028,4502.88867188,30,708010003
746058.31867676,2574347.23069702,450.85916138,3598,4502.88867188,30,708010003
746058.30592041,2574347.42930542,450.75625610,4883,4502.88867188,30,708010003
746058.28181152,2574347.54011475,450.65313721,3598,4502.88867188,30,708010003
746058.18378906,2574345.02821289,451.83483887,1028,4503.46972656,30,708010003
746058.19459229,2574345.85929810,451.85073853,1028,4503.46972656,30,708010003
